title,thumbnail,link,viewcount,date
Introducing GPT-4,https://i.ytimg.com/vi/--khbXchTeE/hqdefault.jpg,https://www.youtube.com/watch?v=--khbXchTeE,982K views,1 year ago
What can you do with GPT-4?,https://i.ytimg.com/vi/oc6RV5c1yd0/hqdefault.jpg,https://www.youtube.com/watch?v=oc6RV5c1yd0,520K views,1 year ago
Join us in shaping the future of technology,https://i.ytimg.com/vi/AyOnug-3OKM/hqdefault.jpg,https://www.youtube.com/watch?v=AyOnug-3OKM,174K views,1 year ago
DALL·E 2 Explained,https://i.ytimg.com/vi/qTgPSKKjfVg/hqdefault.jpg,https://www.youtube.com/watch?v=qTgPSKKjfVg,781K views,1 year ago
Aligning AI systems with human intent,https://i.ytimg.com/vi/yWDUzNiWPJA/hqdefault.jpg,https://www.youtube.com/watch?v=yWDUzNiWPJA,87K views,1 year ago
OpenAI Codex Live Demo,https://i.ytimg.com/vi/SGUCcjHTmGY/hqdefault.jpg,https://www.youtube.com/watch?v=SGUCcjHTmGY,839K views,1 year ago
Giving OpenAI Codex a First Grade Math Test,https://i.ytimg.com/vi/fRyTycXMlzA/hqdefault.jpg,https://www.youtube.com/watch?v=fRyTycXMlzA,121K views,1 year ago
Converting Python to Ruby with OpenAI Codex,https://i.ytimg.com/vi/Iq3rDFZOorw/hqdefault.jpg,https://www.youtube.com/watch?v=Iq3rDFZOorw,34K views,1 year ago
Data Science with OpenAI Codex,https://i.ytimg.com/vi/Ru5fQZ714x8/hqdefault.jpg,https://www.youtube.com/watch?v=Ru5fQZ714x8,132K views,1 year ago
Talking to Your Computer with OpenAI Codex,https://i.ytimg.com/vi/-Dpl2awseZU/hqdefault.jpg,https://www.youtube.com/watch?v=-Dpl2awseZU,57K views,2 years ago
